(20000, 221, 1),
(20001, 211, 3),
(20002, 215, 3),
(20002, 213, 2),
(20002, 208, 3),
(20002, 203, 2),
(20003, 218, 1),
(20003, 203, 1),
(20003, 216, 1),
(20004, 217, 2),
(20004, 208, 2),
(20004, 215, 1),
(20004, 210, 3),
(20004, 218, 3),
(20005, 207, 2),
(20005, 214, 2),
(20005, 209, 1),
(20006, 207, 2),
(20006, 214, 1),
(20006, 215, 1),
(20006, 220, 1),
(20006, 207, 1),
(20007, 211, 3),
(20007, 210, 3),
(20007, 221, 2),
(20007, 219, 3),
(20007, 207, 1),
(30000, 218, 3),
(30000, 222, 2),
(30000, 208, 2),
(30000, 213, 3),
(30001, 211, 3),
(30002, 203, 3),
(30002, 218, 2),
(30002, 217, 3),
(30003, 205, 3),
(30003, 217, 1),
(30004, 214, 1),
(30005, 216, 1),
(30005, 220, 2),
(30006, 222, 1),
(30007, 207, 2),
(30007, 223, 2),
(30007, 221, 1),
(30008, 209, 1),
(30008, 215, 2),
(30008, 204, 1),
(40000, 206, 3),
(40000, 209, 2),
(40000, 219, 3),
(40000, 207, 3),
(40000, 221, 2),
(40001, 213, 2),
(40001, 215, 1),
(40002, 216, 3),
(40002, 218, 1),
(40002, 218, 3),
(40002, 209, 1),
(40003, 215, 3),
(40003, 218, 3),
(40004, 206, 2),
(40004, 209, 3),
(40004, 203, 3),
(40004, 214, 1),
(40004, 222, 3),
(40005, 205, 2),
(40005, 204, 2),
(40005, 218, 1),
(40005, 213, 3),
(40005, 205, 2),
(40006, 218, 1),
(40006, 212, 3),
(40007, 208, 1),
(40007, 204, 3),
(40007, 214, 2),
(40007, 211, 2),
(40007, 207, 2),
(40008, 205, 3),
(40008, 215, 2),
(40008, 207, 2),
(40008, 215, 2),
(40008, 204, 2),
(40009, 209, 2),
(40009, 204, 1),
(40009, 208, 1),
(50000, 211, 3),
(60000, 205, 3),
(60000, 220, 2),
(60001, 214, 1),
(60001, 206, 3),
(60001, 222, 3),
(60001, 210, 1),
(60001, 220, 2),
(60002, 213, 3),
(60002, 221, 1),
(60002, 216, 1),
(60002, 203, 3),
(60003, 203, 1),
(60004, 216, 3),
(60004, 206, 1),
(60004, 218, 2),
(60004, 213, 3),
(60004, 208, 2),
(70000, 211, 2),
(70000, 208, 3),
(70001, 212, 1),
(70001, 203, 3),
(70002, 210, 2),
(70003, 217, 3),
(70003, 204, 1),
(70003, 209, 1),
(70003, 210, 2),
(70003, 205, 3),
(70004, 211, 2),
(70004, 214, 3),
(70004, 206, 3),
(70004, 208, 2),
(70004, 217, 2),
(70005, 221, 1),
(70005, 219, 2),
(70005, 205, 2),
(70006, 222, 2),
(70006, 219, 3),
(70006, 216, 2),
(70007, 223, 2),
(70007, 206, 1),
(70007, 219, 2),
(70007, 222, 1),
(70007, 203, 3),
(70008, 207, 1),
(70008, 206, 1),
(70008, 218, 1),
(70008, 208, 3),
(70009, 215, 2),
(70009, 210, 2),
(90000, 219, 1),
(90000, 211, 3),
(90001, 220, 2),
(90001, 217, 1),
(90002, 215, 2),
(90002, 222, 1),
(90002, 218, 2),
(90002, 221, 3),
(90003, 218, 1),
(90003, 208, 2),
(90004, 208, 2),
(90005, 216, 2),
(90006, 210, 1),
(90006, 216, 2),
(90006, 203, 1),
